"hja_record_type_cd","hja_client_nbr","hja_group_slct_id","hja_branch_cd","hja_account_cd","hja_currency_cd","hja_transaction_dt","hja_security_adp_nbr","hja_type_tran_ch_cd","hja_type_account_cd","hja_seq_nbr","hja_action","hja_rfrn_id","hja_client_use_txt","hja_trans_control_id","filler"
"HJA","A006","1ASPIRE","22","00741","100","001/16/201","9F00075","8","B","2+0000","0","A000714346061.","I","19011600000714346061.INP","B"
"HJA","A006","1ASPIRE","22","00922","400","001/16/201","9F10048","9","B","1+0000","0","A000714351061.","I","19011600000714351061.INP","B"
"HJA","A006","1ASPIRE","22","00922","400","001/16/201","9F10049","0","B","1+0000","0","A000714354061.","I","19011600000714354061.INP","B"
"HJA","A006","1ASPIRE","22","00922","400","001/16/201","9H51547","3","B","1+0000","0","A000717604061.","I","19011600000717604061.INP","B"
"HJA","A006","1ASPIRE","22","00085","400","001/16/201","95CFGHC","9","A","9+0000","0","A001271898800","","190116EL001271898800  00","0"
"HJA","A006","1ASPIRE","22","00085","400","001/16/201","95CFGHC","9","B","9+0000","0","A004426146CSX9","0","19011600004426146CSX90B.","B"
"HJA","A006","1ASPIRE","22","00741","100","001/16/201","9A10039","3","B","2+0000","0","A000713509061.","I","19011600000713509061.INP","B"
"HJA","A006","1ASPIRE","22","00741","100","001/16/201","9A10043","1","B","2+0000","0","A000713512061.","I","19011600000713512061.INP","B"
"HJA","A006","1ASPIRE","22","00741","100","001/16/201","9F00075","3","B","2+0000","0","A000714349061.","I","19011600000714349061.INP","B"
